word,passed,attempts,retired_at
Almanac,0,308,2026-08-18T23:46:54.498209+09:00
Anchor,0,371,2026-08-18T23:46:54.498209+09:00
Blueprint,0,304,2026-08-18T23:46:54.498209+09:00
Cockpit,0,373,2026-08-18T23:46:54.498209+09:00
Codex,0,312,2026-08-18T23:46:54.498209+09:00
Compendium,0,310,2026-08-18T23:46:54.498209+09:00
Dashboard,0,372,2026-08-18T23:46:54.498209+09:00
Dial,0,360,2026-08-18T23:46:54.498209+09:00
Dock,0,363,2026-08-18T23:46:54.498209+09:00
Guard,0,360,2026-08-18T23:46:54.498209+09:00
Guidebook,0,312,2026-08-18T23:46:54.498209+09:00
Insight,0,373,2026-08-18T23:46:54.498209+09:00
Lens,0,370,2026-08-18T23:46:54.498209+09:00
Lock,0,371,2026-08-18T23:46:54.498209+09:00
Meter,0,358,2026-08-18T23:46:54.498209+09:00
Metrics,0,373,2026-08-18T23:46:54.498209+09:00
Navigator,0,371,2026-08-18T23:46:54.498209+09:00
Node,0,368,2026-08-18T23:46:54.498209+09:00
Organizer,0,373,2026-08-18T23:46:54.498209+09:00
Pilot,0,364,2026-08-18T23:46:54.498209+09:00
Pulse,0,373,2026-08-18T23:46:54.498209+09:00
Roadmap,0,309,2026-08-18T23:46:54.498209+09:00
Sentry,0,371,2026-08-18T23:46:54.498209+09:00
Snapshot,0,316,2026-08-18T23:46:54.498209+09:00
Suite,0,373,2026-08-18T23:46:54.498209+09:00
Sync,0,362,2026-08-18T23:46:54.498209+09:00
Toolkit,0,313,2026-08-18T23:46:54.498209+09:00
Workbench,0,314,2026-08-18T23:46:54.498209+09:00
Depot,0,383,2026-08-19T00:12:48.871590+09:00
Catalog,0,407,2026-08-19T21:21:24.449070+09:00
Checklist,0,407,2026-08-19T21:21:24.449070+09:00
Digest,0,491,2026-08-19T21:21:24.449070+09:00
Hotline,0,417,2026-08-19T21:21:24.449070+09:00
Queue,0,404,2026-08-19T21:21:24.449070+09:00
Book,0,568,2026-08-21T00:37:59.125147+09:00
Flag,0,553,2026-08-21T00:37:59.125147+09:00
Grade,0,521,2026-08-21T00:37:59.125147+09:00
Tally,0,533,2026-08-21T00:37:59.125147+09:00
Dossier,0,599,2026-08-21T01:11:16.495608+09:00
Excerpt,0,547,2026-08-21T01:11:16.495608+09:00
Deal,0,656,2026-08-21T02:00:54.648515+09:00
Toll,0,671,2026-08-21T02:46:07.508444+09:00
Profit,0,634,2026-08-23T03:00:02.565840+09:00
Contribution,0,334,2026-08-23T16:17:49.436772+09:00
Installment,0,510,2026-08-23T16:17:49.436772+09:00
Cashback,0,406,2026-08-27T21:20:38.762613+09:00
Coupon,0,406,2026-08-27T21:20:38.762613+09:00
Giveaway,0,406,2026-08-27T21:20:38.762613+09:00
Incentive,0,406,2026-08-27T21:20:38.762613+09:00
